|name|average_rate|nb_of_reviews|address|city|postal_code|comment_rate|last_50_better?
130|Otiamo|4.7|290|32 Rue de Bièvre, 75005 Paris|Paris|75005|4.72|Better
131|Tripletta Latin|4.3|274|2 Bis Rue de l'Arbalète, 75005 Paris|Paris|75005|4.5|Better
132|La Comedia|4.0|1271|107 Rue Monge, 75005 Paris|Paris|75005|4.38|Better
133|Pizzeria le Quartier Latin** nouvelle gérance depuis juin 2022|4.5|603|1 Rue Mouffetard, 75005 Paris|Paris|75005|4.8|Better
134|L'Angolo 42|4.5|442|42 Rue Broca, 75005 Paris|Paris|75005|4.54|Better
135|"Au Four à Pizza | Pizzas, Chaussons, Vins italiens, PARIS 5ème"|3.8|30|47 Bd Saint-Michel, 75005 Paris|Paris|75005|3.7666666666666666|Worse
136|AMALFI|4.8|33|8 Rue Mouffetard, 75005 Paris|Paris|75005|4.848484848484849|Better
137|I Diavoletti Trattoria|4.4|276|73 Rue Claude Bernard, 75005 Paris|Paris|75005|4.6|Better
138|Ricette Ristorante|4.5|237|10 Rue du Cardinal Lemoine, 75005 Paris|Paris|75005|4.666666666666667|Better
139|Pizzeria Luciana|3.4|98|187 Rue Saint-Jacques, 75005 Paris|Paris|75005|3.74|Better
140|Pizza Cosy|4.6|456|56 Bd Saint-Marcel, 75005 Paris|Paris|75005|4.7|Better
141|Amarena Ristorante|3.8|25|88 Rue Mouffetard, 75005 Paris|Paris|75005|3.8|Equal
142|Pepe Pizza|3.3|105|34 Rue Mouffetard, 75005 Paris|Paris|75005|3.16|Worse
143|Pasta e Fagioli|4.2|363|82 Rue Claude Bernard, 75005 Paris|Paris|75005|4.25531914893617|Better
144|PEPITA|4.7|457|88 Bd Saint-Germain, 75005 Paris|Paris|75005|4.55|Worse
145|VITA NUOVA|4.5|47|17 Rue du Val de Grâce, 75005 Paris|Paris|75005|4.51063829787234|Better
146|Sacha Pizza|4.5|2|42 Rue Daubenton, 75005 Paris|Paris|75005|4.5|Equal
147|Prosciutteria Paris - By Forno Gusto|4.6|165|61 Quai de la Tournelle, 75005 Paris|Paris|75005|4.32|Worse
148|SoHo Trattoria|4.2|1003|33 Rue Saint-Jacques, 75005 Paris|Paris|75005|3.7|Worse
149|Luisa Maria|4.4|594|12 Rue Monsieur le Prince, 75006 Paris|Paris|75006|4.466666666666667|Better
150|Panuozzo|5.0|1|11 Rue Cujas, 75005 Paris|Paris|75005|5.0|Equal
151|Pizza Rustica|3.8|517|24 Rue Saint-André des Arts, 75006 Paris|Paris|75006|3.5774647887323945|Worse
152|Rim Café|3.8|379|38 Rue Saint-Séverin, 75005 Paris|Paris|75005|4.225|Better
153|Restaurant Oulala Paris Halal|4.4|1235|20 Rue Mouffetard, 75005 Paris|Paris|75005|4.75|Better
